PRN,Sys,El(°),Az(°),Freq,SNR,Pseudorange (m),Phase (cyc)
C03,BDS,44.1,181.4,7I,40.0,36958679.1358885,148817339.8619747
C08,BDS,66.0,263.6,2I,28.6,36657979.79314381,190887783.19560373
C13,BDS,57.8,254.1,2I,32.7,37037360.1144143,192863346.6813092
C13,BDS,57.8,254.1,6I,31.9,37037359.22654722,156717288.72966602
C13,BDS,57.8,254.1,7I,28.3,37037359.50128345,149134203.9918205
C33,BDS,45.8,206.2,1P,47.7,23322908.690029584,122562743.89617847
C33,BDS,45.8,206.2,2I,48.7,23322910.6628814,121448547.37974618
C33,BDS,45.8,206.2,5P,47.2,23322935.38132423,91524247.04821973
C33,BDS,45.8,206.2,6I,48.1,23322922.060526017,98686952.8181774
C33,BDS,45.8,206.2,7D,46.0,23322934.03165459,93911827.89978246
C59,BDS,36.9,138.4,2I,45.2,37934341.38254345,197534124.47570267
C59,BDS,36.9,138.4,6I,39.2,37934326.01127486,160512614.08351952
C59,BDS,36.9,138.4,7D,45.8,37934328.37221952,152745882.706503
C60,BDS,32.4,222.6,2I,39.8,38097604.44482763,198384274.27296084
C60,BDS,32.4,222.6,6I,40.6,38097587.01247892,161203424.9856859
C60,BDS,32.4,222.6,7D,39.9,38097588.99761569,153403273.42202005
E04,GAL,46.9,114.4,5Q,26.4,24723568.194349132,97021203.4579665
E04,GAL,46.9,114.4,6C,26.3,24723566.94072549,105457734.00324337
E04,GAL,46.9,114.4,7Q,30.8,24723569.177145395,99552157.1879086
E04,GAL,46.9,114.4,8Q,31.8,24723568.032411113,98286696.36166559
E06,GAL,38.7,149.6,1C,44.4,25339932.10001899,133162624.73796351
E06,GAL,38.7,149.6,5Q,44.2,25339934.581021145,99439843.06857638
E06,GAL,38.7,149.6,6C,42.6,25339930.500183027,108086602.66255319
E06,GAL,38.7,149.6,7Q,44.7,25339933.628937267,102033817.555376
E06,GAL,38.7,149.6,8Q,47.4,25339933.193938237,100736826.84489204
